observation_date,GPDIC1_PCH
1970-01-01,-2.98255
1970-04-01,0.21746
1970-07-01,1.62731
1970-10-01,-5.30932
1971-01-01,11.65861
1971-04-01,2.83753
1971-07-01,1.21327
1971-10-01,-2.69285
1972-01-01,6.58942
1972-04-01,5.68023
1972-07-01,1.41996
1972-10-01,0.62709
1973-01-01,5.86045
1973-04-01,4.26261
1973-07-01,-3.62596
1973-10-01,3.56198
1974-01-01,-5.71072
1974-04-01,-0.39908
1974-07-01,-5.18290
1974-10-01,0.60698
1975-01-01,-16.10792
1975-04-01,-2.97713
1975-07-01,7.75261
1975-10-01,2.79120
1976-01-01,9.64884
1976-04-01,3.95787
1976-07-01,0.34845
1976-10-01,0.74816
1977-01-01,4.63297
1977-04-01,7.16911
1977-07-01,5.06032
1977-10-01,-2.50853
1978-01-01,1.94897
1978-04-01,6.49509
1978-07-01,2.91351
1978-10-01,2.31256
1979-01-01,0.16615
1979-04-01,-0.09008
1979-07-01,-1.68404
1979-10-01,-1.77389
1980-01-01,-0.68390
1980-04-01,-8.50287
1980-07-01,-6.60009
1980-10-01,9.32040
1981-01-01,9.25569
1981-04-01,-4.14460
1981-07-01,5.63629
1981-10-01,-3.52148
1982-01-01,-9.45904
1982-04-01,-0.07610
1982-07-01,-0.91631
1982-10-01,-7.72990
1983-01-01,3.46469
1983-04-01,8.85603
1983-07-01,6.26077
1983-10-01,9.72833
1984-01-01,9.66446
1984-04-01,3.25201
1984-07-01,2.16399
1984-10-01,-1.29709
1985-01-01,-2.74181
1985-04-01,1.70324
1985-07-01,-0.68173
1985-10-01,3.68575
1986-01-01,-0.02931
1986-04-01,-1.74583
1986-07-01,-2.68996
1986-10-01,0.29932
1987-01-01,2.69867
1987-04-01,0.05208
1987-07-01,0.01459
1987-10-01,6.81376
1988-01-01,-4.80052
1988-04-01,2.38263
1988-07-01,0.55555
1988-10-01,1.52602
1989-01-01,3.39415
1989-04-01,-0.96732
1989-07-01,-0.89781
1989-10-01,-0.74181
1990-01-01,0.99307
1990-04-01,0.03120
1990-07-01,-1.93855
1990-10-01,-5.59415
1991-01-01,-3.32744
1991-04-01,-0.00034
1991-07-01,1.97996
1991-10-01,3.54593
1992-01-01,-1.84738
1992-04-01,5.65537
1992-07-01,0.79488
1992-10-01,3.05112
1993-01-01,2.35751
1993-04-01,0.57540
1993-07-01,-0.67916
1993-10-01,5.25471
1994-01-01,3.80894
1994-04-01,4.91815
1994-07-01,-1.63361
1994-10-01,4.11407
1995-01-01,1.04999
1995-04-01,-2.07692
1995-07-01,-0.59602
1995-10-01,2.48369
1996-01-01,1.60615
1996-04-01,4.80496
1996-07-01,4.54208
1996-10-01,-0.13271
1997-01-01,2.01797
1997-04-01,6.13748
1997-07-01,1.38986
1997-10-01,1.46821
1998-01-01,4.38730
1998-04-01,-0.61924
1998-07-01,2.59779
1998-10-01,3.03885
1999-01-01,2.75563
1999-04-01,0.05054
1999-07-01,2.75264
1999-10-01,2.66719
2000-01-01,-0.70799
2000-04-01,5.92364
2000-07-01,-0.96872
2000-10-01,0.20917
2001-01-01,-4.55446
2001-04-01,0.15613
2001-07-01,-2.16888
2001-10-01,-4.96905
2002-01-01,2.98272
2002-04-01,1.62983
2002-07-01,-0.12858
2002-10-01,-0.09743
2003-01-01,0.81609
2003-04-01,0.64983
2003-07-01,3.61531
2003-10-01,3.41220
2004-01-01,0.16889
2004-04-01,3.97764
2004-07-01,1.58479
2004-10-01,2.08071
2005-01-01,2.80987
2005-04-01,-1.30129
2005-07-01,1.31277
2005-10-01,3.18673
2006-01-01,1.46566
2006-04-01,-0.57481
2006-07-01,-0.38074
2006-10-01,-1.85824
2007-01-01,-0.64548
2007-04-01,0.96331
2007-07-01,-1.14906
2007-10-01,-1.14538
2008-01-01,-2.73374
2008-04-01,-1.68024
2008-07-01,-1.99088
2008-10-01,-9.66749
2009-01-01,-11.36426
2009-04-01,-5.81216
2009-07-01,-0.29570
2009-10-01,9.33032
2010-01-01,2.15263
2010-04-01,5.24915
2010-07-01,4.43978
2010-10-01,-0.28346
2011-01-01,-1.86280
2011-04-01,4.08897
2011-07-01,0.44189
2011-10-01,7.71003
2012-01-01,2.21541
2012-04-01,2.24484
2012-07-01,0.26324
2012-10-01,-0.84921
2013-01-01,3.98173
2013-04-01,1.30418
2013-07-01,4.04172
2013-10-01,0.96079
2014-01-01,-0.97949
2014-04-01,4.10830
2014-07-01,2.30130
2014-10-01,0.31940
2015-01-01,3.48210
2015-04-01,0.39681
2015-07-01,0.21697
2015-10-01,-0.59773
2016-01-01,-0.42964
2016-04-01,-0.42583
2016-07-01,0.42732
2016-10-01,2.74668
2017-01-01,-0.26671
2017-04-01,1.57348
2017-07-01,1.66584
2017-10-01,1.88061
2018-01-01,1.51950
2018-04-01,-0.01514
2018-07-01,3.04117
2018-10-01,0.06727
2019-01-01,0.82631
2019-04-01,0.91915
2019-07-01,0.78867
2019-10-01,-1.29607
2020-01-01,-2.49725
2020-04-01,-13.94798
2020-07-01,18.71397
2020-10-01,3.28590
2021-01-01,-0.76310
2021-04-01,-1.30672
2021-07-01,3.63964
2021-10-01,6.46313
2022-01-01,1.92303
2022-04-01,-2.23276
2022-07-01,-1.71650
2022-10-01,1.94110
2023-01-01,-1.82648
2023-04-01,1.75756
2023-07-01,2.26694
2023-10-01,0.88041
2024-01-01,-0.39224
