observation_date,PCECC96_PCH
1970-01-01,0.62044
1970-04-01,0.45302
1970-07-01,0.87671
1970-10-01,-0.27149
1971-01-01,1.91953
1971-04-01,0.91905
1971-07-01,0.79730
1971-10-01,1.65925
1972-01-01,1.31981
1972-04-01,1.90365
1972-07-01,1.54113
1972-10-01,2.34664
1973-01-01,1.82576
1973-04-01,-0.04507
1973-07-01,0.35196
1973-10-01,-0.29825
1974-01-01,-0.89468
1974-04-01,0.36007
1974-07-01,0.42957
1974-10-01,-1.46171
1975-01-01,0.83875
1975-04-01,1.64484
1975-07-01,1.42128
1975-10-01,1.07532
1976-01-01,1.99936
1976-04-01,0.92005
1976-07-01,1.05287
1976-10-01,1.29750
1977-01-01,1.17868
1977-04-01,0.54225
1977-07-01,0.94553
1977-10-01,1.50354
1978-01-01,0.56180
1978-04-01,2.13788
1978-07-01,0.41991
1978-10-01,0.80694
1979-01-01,0.51790
1979-04-01,-0.06492
1979-07-01,0.97309
1979-10-01,0.24883
1980-01-01,-0.14295
1980-04-01,-2.25208
1980-07-01,1.09692
1980-10-01,1.35111
1981-01-01,0.33499
1981-04-01,0.00726
1981-07-01,0.46257
1981-10-01,-0.68401
1982-01-01,0.73660
1982-04-01,0.30462
1982-07-01,0.67035
1982-10-01,1.75168
1983-01-01,0.98871
1983-04-01,2.03626
1983-07-01,1.79320
1983-10-01,1.59359
1984-01-01,0.82989
1984-04-01,1.40097
1984-07-01,0.74161
1984-10-01,1.29534
1985-01-01,1.69894
1985-04-01,0.91807
1985-07-01,1.89949
1985-10-01,0.21659
1986-01-01,0.87422
1986-04-01,1.08957
1986-07-01,1.76841
1986-10-01,0.61222
1987-01-01,0.09455
1987-04-01,1.36358
1987-07-01,1.14066
1987-10-01,0.21145
1988-01-01,1.76690
1988-04-01,0.73854
1988-07-01,0.88872
1988-10-01,1.13703
1989-01-01,0.46386
1989-04-01,0.46671
1989-07-01,0.96807
1989-10-01,0.43461
1990-01-01,0.84160
1990-04-01,0.30463
1990-07-01,0.39617
1990-10-01,-0.76075
1991-01-01,-0.37603
1991-04-01,0.82876
1991-07-01,0.49858
1991-10-01,-0.05003
1992-01-01,1.87234
1992-04-01,0.67883
1992-07-01,1.07192
1992-10-01,1.19188
1993-01-01,0.38340
1993-04-01,0.90960
1993-07-01,1.11292
1993-10-01,0.87783
1994-01-01,1.14377
1994-04-01,0.77806
1994-07-01,0.76249
1994-10-01,1.08113
1995-01-01,0.24890
1995-04-01,0.87667
1995-07-01,0.90624
1995-10-01,0.69756
1996-01-01,0.92228
1996-04-01,1.07578
1996-07-01,0.60541
1996-10-01,0.79652
1997-01-01,1.05409
1997-04-01,0.45019
1997-07-01,1.70375
1997-10-01,1.19521
1998-01-01,1.01153
1998-04-01,1.76092
1998-07-01,1.30404
1998-10-01,1.44469
1999-01-01,1.02708
1999-04-01,1.53140
1999-07-01,1.12421
1999-10-01,1.46271
2000-01-01,1.51206
2000-04-01,0.93375
2000-07-01,0.95808
2000-10-01,0.87369
2001-01-01,0.36269
2001-04-01,0.20090
2001-07-01,0.34798
2001-10-01,1.61351
2002-01-01,0.22264
2002-04-01,0.50583
2002-07-01,0.69983
2002-10-01,0.55620
2003-01-01,0.49256
2003-04-01,1.14498
2003-07-01,1.41399
2003-10-01,0.68845
2004-01-01,0.93237
2004-04-01,0.54565
2004-07-01,1.17462
2004-10-01,1.13111
2005-01-01,0.63542
2005-04-01,1.10820
2005-07-01,0.82969
2005-10-01,0.18432
2006-01-01,1.09046
2006-04-01,0.51845
2006-07-01,0.64217
2006-10-01,0.95391
2007-01-01,0.61676
2007-04-01,0.26241
2007-07-01,0.66709
2007-10-01,0.39407
2008-01-01,-0.13712
2008-04-01,0.27556
2008-07-01,-0.77073
2008-10-01,-0.89994
2009-01-01,-0.25394
2009-04-01,-0.49159
2009-07-01,0.67248
2009-10-01,-0.11017
2010-01-01,0.57954
2010-04-01,0.89676
2010-07-01,0.71345
2010-10-01,0.61292
2011-01-01,0.38200
2011-04-01,0.10290
2011-07-01,0.30433
2011-10-01,0.17251
2012-01-01,0.72127
2012-04-01,0.17563
2012-07-01,0.20279
2012-10-01,0.39852
2013-01-01,0.65019
2013-04-01,0.28578
2013-07-01,0.40656
2013-10-01,0.88069
2014-01-01,0.35977
2014-04-01,0.96059
2014-07-01,0.98839
2014-10-01,1.15235
2015-01-01,0.76727
2015-04-01,0.68828
2015-07-01,0.70409
2015-10-01,0.40673
2016-01-01,0.75495
2016-04-01,0.49603
2016-07-01,0.69562
2016-10-01,0.51564
2017-01-01,0.76886
2017-04-01,0.49594
2017-07-01,0.67776
2017-10-01,1.09287
2018-01-01,0.72410
2018-04-01,0.53542
2018-07-01,0.46088
2018-10-01,0.31242
2019-01-01,0.15840
2019-04-01,0.85311
2019-07-01,1.13520
2019-10-01,0.65596
2020-01-01,-1.68652
2020-04-01,-8.65360
2020-07-01,8.89522
2020-10-01,1.35851
2021-01-01,2.27300
2021-04-01,3.49449
2021-07-01,0.83151
2021-10-01,0.96109
2022-01-01,0.09272
2022-04-01,0.81788
2022-07-01,0.46945
2022-10-01,0.19888
2023-01-01,1.10598
2023-04-01,0.37407
2023-07-01,0.75986
2023-10-01,0.75173
2024-01-01,0.43058
